transactionid,saledate,receiptnumber,servicecharge,servicechargevat,transactionexcludevat,servicechargepercent,vatpercent,otheramountdiscount,totalproductamount,totalpayamount
46153,2019-02-13,033022019/130091,13050.0000,1305.0000,17400.0000,7.5000,10.0000,0.0000,5.0000,205755.0000
46159,2019-02-13,033022019/130096,56100.0000,5610.0000,59840.0000,7.5000,10.0000,0.0000,11.0000,719950.0000
46137,2019-02-13,033022019/130050,8250.0000,825.0000,11000.0000,7.5000,10.0000,0.0000,2.0000,130075.0000
14558,2019-02-13,033022019/130056,1725.0000,173.0000,2300.0000,7.5000,10.0000,0.0000,1.0000,27198.0000
14558,2019-02-13,033022019/130056,1725.0000,173.0000,2300.0000,7.5000,10.0000,0.0000,1.0000,27198.0000
46138,2019-02-13,033022019/130059,33750.0000,3375.0000,45000.0000,7.5000,10.0000,0.0000,11.0000,532125.0000
46139,2019-02-13,033022019/130057,26250.0000,2625.0000,35000.0000,7.5000,10.0000,0.0000,10.0000,413875.0000
14559,2019-02-13,033022019/130058,7275.0000,728.0000,9700.0000,7.5000,10.0000,0.0000,3.0000,114703.0000
14559,2019-02-13,033022019/130058,7275.0000,728.0000,9700.0000,7.5000,10.0000,0.0000,3.0000,114703.0000
46138,2019-02-13,033022019/130059,33750.0000,3375.0000,45000.0000,7.5000,10.0000,0.0000,11.0000,532125.0000
14560,2019-02-13,033022019/130060,8775.0000,878.0000,11700.0000,7.5000,10.0000,0.0000,3.0000,138353.0000
14560,2019-02-13,033022019/130060,8775.0000,878.0000,11700.0000,7.5000,10.0000,0.0000,3.0000,138353.0000
78111,2019-02-13,033022019/130061,16050.0000,1605.0000,21400.0000,7.5000,10.0000,0.0000,5.0000,253055.0000
14557,2019-02-13,033022019/130055,6450.0000,645.0000,8600.0000,7.5000,10.0000,0.0000,2.0000,101695.0000
14557,2019-02-13,033022019/130055,6450.0000,645.0000,8600.0000,7.5000,10.0000,0.0000,2.0000,101695.0000
46139,2019-02-13,033022019/130057,26250.0000,2625.0000,35000.0000,7.5000,10.0000,0.0000,10.0000,413875.0000
46136,2019-02-13,033022019/130049,45450.0000,4545.0000,60600.0000,7.5000,10.0000,0.0000,12.0000,716595.0000
46137,2019-02-13,033022019/130050,8250.0000,825.0000,11000.0000,7.5000,10.0000,0.0000,2.0000,130075.0000
78106,2019-02-13,033022019/130052,29850.0000,2985.0000,39800.0000,7.5000,10.0000,0.0000,7.0000,470635.0000
14554,2019-02-13,033022019/130051,14025.0000,1403.0000,18700.0000,7.5000,10.0000,0.0000,3.0000,221128.0000
14554,2019-02-13,033022019/130051,14025.0000,1403.0000,18700.0000,7.5000,10.0000,0.0000,3.0000,221128.0000
78106,2019-02-13,033022019/130052,29850.0000,2985.0000,37810.0000,7.5000,10.0000,0.0000,7.0000,448745.0000
14555,2019-02-13,033022019/130053,6375.0000,638.0000,8500.0000,7.5000,10.0000,0.0000,1.0000,100513.0000
14555,2019-02-13,033022019/130053,6375.0000,638.0000,8500.0000,7.5000,10.0000,0.0000,1.0000,100513.0000
14556,2019-02-13,033022019/130054,9300.0000,930.0000,12400.0000,7.5000,10.0000,0.0000,2.0000,146630.0000
14556,2019-02-13,033022019/130054,9300.0000,930.0000,12400.0000,7.5000,10.0000,0.0000,2.0000,146630.0000
78111,2019-02-13,033022019/130061,16050.0000,1605.0000,21400.0000,7.5000,10.0000,0.0000,5.0000,253055.0000
46140,2019-02-13,033022019/130063,23925.0000,2393.0000,31900.0000,7.5000,10.0000,0.0000,7.0000,377218.0000
14561,2019-02-13,033022019/130062,6675.0000,668.0000,8900.0000,7.5000,10.0000,0.0000,4.0000,105243.0000
78108,2019-02-13,033022019/130069,21450.0000,2145.0000,28600.0000,7.5000,10.0000,0.0000,8.0000,338195.0000
46143,2019-02-13,033022019/130070,13575.0000,1358.0000,18100.0000,7.5000,10.0000,0.0000,4.0000,214033.0000
46143,2019-02-13,033022019/130070,13575.0000,1358.0000,18100.0000,7.5000,10.0000,0.0000,4.0000,214033.0000
46141,2019-02-13,033022019/130067,18300.0000,1830.0000,24400.0000,7.5000,10.0000,0.0000,6.0000,288530.0000
78113,2019-02-13,033022019/130071,21450.0000,2145.0000,28600.0000,7.5000,10.0000,0.0000,6.0000,338195.0000
78113,2019-02-13,033022019/130071,21450.0000,2145.0000,28600.0000,7.5000,10.0000,0.0000,6.0000,338195.0000
78110,2019-02-13,033022019/130072,15675.0000,1568.0000,20900.0000,7.5000,10.0000,0.0000,5.0000,247143.0000
78110,2019-02-13,033022019/130072,15675.0000,1568.0000,20900.0000,7.5000,10.0000,0.0000,5.0000,247143.0000
14562,2019-02-13,033022019/130073,10950.0000,1095.0000,14600.0000,7.5000,10.0000,0.0000,4.0000,172645.0000
14562,2019-02-13,033022019/130073,10950.0000,1095.0000,14600.0000,7.5000,10.0000,0.0000,4.0000,172645.0000
46145,2019-02-13,033022019/130068,29550.0000,2955.0000,39400.0000,7.5000,10.0000,0.0000,10.0000,465905.0000
46145,2019-02-13,033022019/130068,29550.0000,2955.0000,39400.0000,7.5000,10.0000,0.0000,10.0000,465905.0000
78108,2019-02-13,033022019/130069,21450.0000,2145.0000,28600.0000,7.5000,10.0000,0.0000,8.0000,338195.0000
14561,2019-02-13,033022019/130062,6675.0000,668.0000,8900.0000,7.5000,10.0000,0.0000,4.0000,105243.0000
46140,2019-02-13,033022019/130063,23925.0000,2393.0000,31900.0000,7.5000,10.0000,0.0000,7.0000,377218.0000
78109,2019-02-13,033022019/130064,21750.0000,2175.0000,29000.0000,7.5000,10.0000,0.0000,2.0000,342925.0000
78109,2019-02-13,033022019/130064,21750.0000,2175.0000,29000.0000,7.5000,10.0000,0.0000,2.0000,342925.0000
78107,2019-02-13,033022019/130065,27525.0000,2753.0000,36700.0000,7.5000,10.0000,0.0000,8.0000,433978.0000
78107,2019-02-13,033022019/130065,27525.0000,2753.0000,36700.0000,7.5000,10.0000,0.0000,8.0000,433978.0000
46142,2019-02-13,033022019/130066,12825.0000,1283.0000,17100.0000,7.5000,10.0000,0.0000,6.0000,202208.0000
46142,2019-02-13,033022019/130066,12825.0000,1283.0000,17100.0000,7.5000,10.0000,0.0000,6.0000,202208.0000
46141,2019-02-13,033022019/130067,18300.0000,1830.0000,24400.0000,7.5000,10.0000,0.0000,6.0000,288530.0000
46123,2019-02-12,033022019/120102,27000.0000,2700.0000,28800.0000,7.5000,10.0000,0.0000,7.0000,346500.0000
78075,2019-02-12,033022019/120103,12975.0000,1298.0000,17300.0000,7.5000,10.0000,0.0000,7.0000,204573.0000
78075,2019-02-12,033022019/120103,12975.0000,1298.0000,17300.0000,7.5000,10.0000,0.0000,7.0000,204573.0000
78074,2019-02-12,033022019/120104,6375.0000,638.0000,8500.0000,7.5000,10.0000,0.0000,1.0000,100513.0000
78055,2019-02-12,033022019/120105,37950.0000,3795.0000,50600.0000,7.5000,10.0000,0.0000,12.0000,598345.0000
14537,2019-02-12,033022019/120032,4800.0000,480.0000,6400.0000,7.5000,10.0000,0.0000,2.0000,75680.0000
78064,2019-02-12,033022019/120078,21900.0000,2190.0000,29200.0000,7.5000,10.0000,0.0000,5.0000,345290.0000
46123,2019-02-12,033022019/120102,27000.0000,2700.0000,36000.0000,7.5000,10.0000,0.0000,7.0000,425700.0000
46121,2019-02-12,033022019/120101,28650.0000,2865.0000,38200.0000,7.5000,10.0000,0.0000,6.0000,451715.0000
14537,2019-02-12,033022019/120032,4800.0000,480.0000,6400.0000,7.5000,10.0000,0.0000,2.0000,75680.0000
46096,2019-02-12,033022019/120039,14400.0000,1440.0000,19200.0000,7.5000,10.0000,0.0000,4.0000,227040.0000
46096,2019-02-12,033022019/120039,14400.0000,1440.0000,19200.0000,7.5000,10.0000,0.0000,4.0000,227040.0000
78041,2019-02-12,033022019/120040,10275.0000,1028.0000,13700.0000,7.5000,10.0000,0.0000,3.0000,162003.0000
78041,2019-02-12,033022019/120040,10275.0000,1028.0000,13700.0000,7.5000,10.0000,0.0000,3.0000,162003.0000
78042,2019-02-12,033022019/120041,29775.0000,2978.0000,39700.0000,7.5000,10.0000,0.0000,9.0000,469453.0000
78042,2019-02-12,033022019/120041,29775.0000,2978.0000,39700.0000,7.5000,10.0000,0.0000,9.0000,469453.0000
78043,2019-02-12,033022019/120043,21900.0000,2190.0000,29200.0000,7.5000,10.0000,0.0000,5.0000,345290.0000
46088,2019-02-12,033022019/120042,19200.0000,1920.0000,25600.0000,7.5000,10.0000,0.0000,5.0000,302720.0000
46088,2019-02-12,033022019/120042,19200.0000,1920.0000,25600.0000,7.5000,10.0000,0.0000,5.0000,302720.0000
46088,2019-02-12,033022019/120042,19200.0000,1920.0000,25600.0000,7.5000,10.0000,0.0000,5.0000,302720.0000
78040,2019-02-12,033022019/120038,16125.0000,1613.0000,21500.0000,7.5000,10.0000,0.0000,4.0000,254238.0000
78040,2019-02-12,033022019/120038,16125.0000,1613.0000,21500.0000,7.5000,10.0000,0.0000,4.0000,254238.0000
78039,2019-02-12,033022019/120037,54525.0000,5453.0000,72700.0000,7.5000,10.0000,0.0000,18.0000,859678.0000
78029,2019-02-12,033022019/120033,21450.0000,2145.0000,28600.0000,7.5000,10.0000,0.0000,7.0000,338195.0000
