SaleNumber,ReceiptNumber,TransactionDate,AmountTransaksi,AmountService,Tax,OtherIncome,SaleDate,OutletCode,OutletName,ShopID
03392019/140125,03392019/140125,09/14/2019 20:52:35,591000,44325.0000,63533.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140126,03392019/140126,09/14/2019 20:53:46,120000,9000.0000,12900.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140127,03392019/140127,09/14/2019 20:56:57,313000,23475.0000,33648.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140128,03392019/140128,09/14/2019 20:58:47,229000,17175.0000,24618.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140129,03392019/140129,09/14/2019 21:02:32,969000,72675.0000,104168.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140130,03392019/140130,09/14/2019 21:03:39,294000,22050.0000,31605.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140131,03392019/140131,09/14/2019 21:04:51,160000,12000.0000,17200.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140132,03392019/140132,09/14/2019 21:06:07,431000,32325.0000,46333.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140133,03392019/140133,09/14/2019 21:07:31,244000,18300.0000,26230.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140134,03392019/140134,09/14/2019 21:11:15,245000,18375.0000,26338.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140135,03392019/140135,09/14/2019 21:12:38,134000,10050.0000,14405.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140136,03392019/140136,09/14/2019 21:13:35,106000,7950.0000,11395.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140137,03392019/140137,09/14/2019 21:16:00,682000,51150.0000,73315.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140138,03392019/140138,09/14/2019 21:18:05,535000,40125.0000,57513.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140139,03392019/140139,09/14/2019 21:21:18,235000,17625.0000,25263.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140140,03392019/140140,09/14/2019 21:22:02,779000,58425.0000,83743.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140141,03392019/140141,09/14/2019 21:24:43,299000,22425.0000,32143.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140142,03392019/140142,09/14/2019 21:29:39,279000,20925.0000,29993.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140143,03392019/140143,09/14/2019 21:32:39,250000,18750.0000,26875.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140144,03392019/140144,09/14/2019 21:34:47,423000,31725.0000,45473.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140145,03392019/140145,09/14/2019 21:35:38,505000,37875.0000,54288.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140146,03392019/140146,09/14/2019 21:37:40,206000,15450.0000,22145.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
